Coords,PGC,Name1,Name2,Name3,RevHubble,BT,logD25,logD25err,RC3PositionAngle,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,PositionAngle,SemiMinorAxis
00h23m16.4496s +02d25m17.004s,PGC 01485,,UGC 00220      U,,.L.....,,1.15,.15,177,.43,.08,002316.5+022516,"OFFSET 1.016 arcsec,PANedMedian,",0.706268772311377,88.0,0.26240373012488627
00h25m47.76s -02d17m05.208s,PGC 01609,,MCG -01-02-011 E,IRAS00232-0233,.S..4P/,,1.30,.04,,.90,.04,002547.9-021705,"PANedMedian,",0.9976311574844399,15.0,0.125594321575479
00h26m54.6s -02d30m03s,PGC 01656,NGC 0113,MCG -01-02-016 E,,.LA.-*.,,1.15,.10,,.13,.07,002654.6-023003 N,"OFFSET 1.390 arcsec,PANedMedian,",0.706268772311377,135.0,0.5235642740254497
00h26m58.2s -01d47m10s,PGC 01660,NGC 0114,UGC 00259      U,MK 0946,.LBT.*.,,.93,.06,165,.10,.04,002658.2-014710 N,"LOGD25,NOPA,NOAXIS,PANedMedian,PANedMedian,",0.4255690191011883,117.0,0.3380414876959909
00h27m11.1s +01d20m01s,PGC 01674,NGC 0117,MCG +00-02-029 E,,.L..+*/,,.87,.08,100,.25,.05,002711.1+012001 N,"NOPA,OFFSET 1.927 arcsec,PANedMedian,PANedMedian,",0.37065512065045875,105.0,0.20843469173516768
00h27m16.2s -01d46m48s,PGC 01678,NGC 0118,UGC 00264      E,MK 0947,.I.0..?,,.85,.06,40,.15,.04,002716.2-014648 N,"OFFSET 2.113 arcsec,PANedMedian,",0.35397289219206896,70.0,0.2505936168136361
00h27m30.1s -01d30m48s,PGC 01693,NGC 0120,UGC 00267      P,,.LB.0*.,,1.19,.05,73,.39,.03,002730.1-013048 N,"OFFSET 1.514 arcsec,PANedMedian,",0.7744083094562406,71.0,0.31547867224009657
00h27m49.8s -01d11m59.9s,PGC 01713,,UGC 00272      U,KUG 0025-014,.SXS7*.,,1.16,.03,130,.37,.04,002749.8-011160,"PANedMedian,",0.7227198853729636,126.0,0.30829750093074104
00h27m52.4s -01d48m37s,PGC 01715,NGC 0124,UGC 00271      R,IRAS00253-0205,.SAS5..,,1.15,.03,168,.22,.03,002752.4-014837 N,"OFFSET 1.515 arcsec,PANedMedian,",0.706268772311377,169.0,0.42556901910118816
00h27m58.6s +02d30m27s,PGC 01723,,UGC 00275      E,,.SXT3P?,,1.25,.04,128,.28,.04,002758.6+023027,"PANedMedian,",0.8891397050194614,134.0,0.46662715039849545
00h28m13.8s +03d14m00.708s,PGC 01737,,UGC 00277      U,,.S..6*.,,1.09,.07,160,.09,.06,002813.9+031400,"OFFSET 4.143 arcsec,PANedMedian,",0.6151343854061909,167.0,0.5000000000000001
00h28m21.7296s +03d23m22.812s,PGC 01741,,UGC 00283      U,,.SXS6*.,,1.06,.08,168,.14,.06,002821.8+032321,"PANedMedian,",0.5740768107484414,165.0,0.41588188555133554
00h28m18.5088s +03d22m59.268s,PGC 01746,,UGC 00282      U,,.SXT7..,,1.24,.04,45,.03,.05,002818.6+032301,"OFFSET 1.464 arcsec,PANedMedian,",0.8689004143746877,168.0,0.8109050486794649
00h28m20.5296s -00d13m04.296s,PGC 01747,,UGC 00280      U,,.SB.3..,,1.08,.06,55,.06,.05,002820.6-001305,"OFFSET 2.240 arcsec,PANedMedian,",0.6011322173087066,155.0,0.5235642740254498
00h28m22.1592s +02d31m38.1s,PGC 01748,,UGC 00281      U,KUG 0025+022,.S..6*.,,1.04,.04,22,.36,.04,002822.2+023137,"OFFSET 3.366 arcsec,PANedMedian,",0.5482390980715925,21.0,0.23931504616131918
00h28m38.22s +02d57m15.516s,PGC 01760,A 0026+02,MCG +00-02-045 P,,.S..4*/,,.94,.08,55,.64,.05,002838.1+025715 A,"NOPA,OFFSET 13.922 arcsec,NedNoPA,PANedMedian,",0.43548179497804024,60.0,0.09976311574844396
00h28m48.2592s +03d25m46.092s,PGC 01770,,MCG +00-02-047,ARAK 011,,,.64,.17,,.19,.07,002848.3+032552,"LOGD25,NOPA,NOAXIS,OFFSET 9.924 arcsec,PANedMedian,PANedMedian,",0.218257916120083,155.0,0.14091914656322269
00h28m50.2s +02d50m19s,PGC 01772,NGC 0125,UGC 00286      P,,RLA.+P*,13.11,1.22,.04,85,.05,.04,002850.2+025019 N,"OFFSET 2.441 arcsec,PANedMedian,",0.8297934537187802,55.0,0.7395541940841036
00h29m08.1s +02d48m39s,PGC 01784,NGC 0126,MCG +00-02-049 P,,.LB.0?.,,.93,.11,110,.28,.05,0029 8.1+024839 N,"NOPA,OFFSET 3.019 arcsec,PANedMedian,PANedMedian,",0.4255690191011883,115.0,0.22334179607548155
00h29m12.4s +02d52m21s,PGC 01787,NGC 0127,MCG +00-02-050 R,IRAS00266+0235,.LA.0*.,,.91,.10,70,.16,.05,002912.4+025221 N,"NOPA,OFFSET 5.083 arcsec,PANedMedian,PANedMedian,",0.40641525808204965,85.0,0.2811706625951746
00h29m15.06s +02d51m50.616s,PGC 01791,NGC 0128,UGC 00292      R,,.L...P/,12.77,1.47,.02,1,.52,.02,002915.0+025150 N,"PANedMedian,",1.4756046133331928,0.0,0.4456254690668727
00h29m18.5s +02d52m13s,PGC 01794,NGC 0130,MCG +00-02-052 R,,.LA.-*.,,.87,.12,40,.31,.05,002918.5+025213 N,"OFFSET 8.671 arcsec,PANedMedian,",0.37065512065045875,50.0,0.18153902738505068
00h29m32.8896s -01d05m44.7s,PGC 01805,,UGC 00295      U,IRAS00269-0122,.SXS3..,,1.02,.06,154,.27,.05,002933.0-010545,"OFFSET 1.187 arcsec,PANedMedian,",0.5235642740254498,136.0,0.28117066259517454
00h30m04.0992s +03d30m47.016s,PGC 01835,,UGC 00300      U,,.I..9*.,,1.06,.07,,.07,.06,003004.2+033047,"NOPA,PANedMedian,NedNoPA,",0.5740768107484414,0.0,0.48861861047790534
00h30m10.7s +02d05m36s,PGC 01844,NGC 0132,UGC 00301      R,IRAS00276+0149,.SXS4..,,1.28,.03,40,.13,.03,003010.7+020536 N,"OFFSET 1.883 arcsec,PANedMedian,",0.9527303589816236,25.0,0.7062687723113773
00h31m12.0912s -00d24m26.46s,PGC 01905,IC 0025,MCG +00-02-064,MK 0952,.L?....,,.86,.07,,.10,.06,003112.1-002426 I,"OFFSET 7.057 arcsec,PANedMedian,",0.362217980037495,36.0,0.28771996866857846
00h31m43.3s +00d54m02s,PGC 01936,,UGC 00317      U,,.S..8*.,,.96,.09,,.05,.06,003143.3+005402,"NOPA,OFFSET 1.948 arcsec,PANedMedian,PANedMedian,",0.4560054196779548,161.0,0.4064152580820496
00h31m49.2408s -02d31m53.796s,PGC 01940,,MCG -01-02-028 E,,.SBR7*.,,1.09,.06,,.12,.05,003149.2-023153,"OFFSET 1.142 arcsec,PANedMedian,",0.6151343854061909,170.0,0.4666271503984956
00h32m30.9s +02d34m27s,PGC 01970,,UGC 00320      U,,.S..6*.,,1.09,.06,172,.77,.05,003230.9+023427,"OFFSET 2.221 arcsec,PANedMedian,",0.6151343854061909,172.0,0.104464806542702
00h32m40.2s +01d28m02s,PGC 01973,,UGC 00322      U,,.S..6*.,,1.06,.06,68,.47,.05,003240.2+012802,"OFFSET 2.026 arcsec,PANedMedian,",0.5740768107484414,69.0,0.1945225724971403
00h33m22.0896s -01d07m16.896s,PGC 02016,,UGC 00328      U,,.SBT8..,,1.09,.05,125,.09,.04,003322.2-010717,"OFFSET 1.365 arcsec,PANedMedian,",0.6151343854061909,23.0,0.5000000000000001
00h33m36.1608s +02d40m51.816s,PGC 02022,,UGC 00329      U,,.SXS6..,,1.29,.04,170,.18,.04,003336.2+024051,"OFFSET 1.797 arcsec,PANedMedian,",0.9749222998790228,167.0,0.644124775846567
00h34m01.2s -03d09m58.5s,PGC 02034,,MCG -01-02-031 E,,.L..0*.,,1.07,.06,,.50,.05,003401.4-031000,"NOPA,OFFSET 8.006 arcsec,PANedMedian,PANedMedian,",0.5874487774697649,150.0,0.1857676145485863
00h34m32.6904s +03d36m07.992s,PGC 02068,,UGC 00342      U,,.SX.5..,,1.02,.06,65,.09,.05,003432.8+033608,"OFFSET 2.198 arcsec,PANedMedian,",0.5235642740254498,42.0,0.4255690191011882
00h35m27.2s +02d56m07s,PGC 02118,,UGC 00348      U,,.S..8*.,,.98,.07,,.00,.05,003527.2+025607,"OFFSET 1.944 arcsec,NedNoPA,",0.47749629301071794,0.0,0.47749629301071794
00h35m24.2688s +03d23m47.004s,PGC 02119,,UGC 00349      U,,.SXS4..,,1.00,.09,136,.28,.06,003524.4+032346,"PANedMedian,",0.5,133.0,0.26240373012488627
00h35m33.9s -02d50m55s,PGC 02131,NGC 0161,MCG -01-02-036 E,,.L..0*.,,1.13,.11,,.22,.07,003533.9-025055 N,"OFFSET 3.090 arcsec,PANedMedian,",0.6744814412958267,35.0,0.40641525808204954
00h36m12.9504s +01d42m44.784s,PGC 02162,,UGC 00358,,.S?....,,1.06,.06,,.00,.05,003613.0+014244,"OFFSET 2.316 arcsec,PANedMedian,",0.5740768107484414,30.0,0.5740768107484414
00h36m45.8s +01d53m11s,PGC 02195,NGC 0170,MCG +00-02-091 E,,.L..-?.,,.64,.11,85,.19,.05,003645.8+015311 N,"NOPA,OFFSET 1.600 arcsec,PANedMedian,PANedMedian,",0.218257916120083,80.0,0.14091914656322269
00h37m12.5s +01d56m32s,PGC 02223,NGC 0173,UGC 00369      U,IRAS00346+0140,.SAT5..,*,1.50,.03,90,.08,.04,003712.5+015632 N,"OFFSET 2.232 arcsec,PANedMedian,",1.5811388300841898,90.0,1.3151339959476909
00h37m35.8056s +00d16m50.484s,PGC 02243,,MCG +00-02-094,MK 0955,.S?....,,.82,.13,,.17,.07,003735.9+001650,"PANedMedian,",0.33034672400379794,109.0,0.22334179607548152
00h38m12.4s +02d43m42s,PGC 02279,NGC 0182,UGC 00382      P,,PSXT1P*,13.27,1.30,.03,75,.08,.04,003812.4+024342 N,"OFFSET 2.651 arcsec,PANedMedian,",0.9976311574844399,75.0,0.8297934537187803
00h38m25.3s +03d09m59s,PGC 02291,NGC 0186,UGC 00390      U,,.LB.+P*,,1.14,.04,23,.22,.04,003825.3+030959 N,"OFFSET 3.423 arcsec,PANedMedian,",0.6901921323014423,24.0,0.41588188555133543
00h39m13.4s +00d51m51s,PGC 02352,NGC 0192,UGC 00401      U,IRAS00366+0035,PSBR1*.,13.42M,1.28,.03,167,.33,.04,003913.4+005151 N,"NOPA,OFFSET 1.330 arcsec,NedNoPA,PANedMedian,",0.9527303589816236,165.0,0.4456254690668728
00h39m17.8392s +00d54m45.936s,PGC 02357,NGC 0196,UGC 00405      U,HICK 007B,.LB..P*,13.80M,1.13,.07,15,.22,.04,003917.8+005445 N,"NOPA,OFFSET 1.552 arcsec,PANedMedian,PANedMedian,",0.6744814412958267,5.0,0.40641525808204954
00h39m18.6s +03d19m52s,PGC 02359,NGC 0193,UGC 00408      P,,.LXS-*.,13.25,1.16,.08,55,.08,.05,003918.6+031952 N,"NOPA,OFFSET 1.049 arcsec,PANedMedian,PANedMedian,",0.7227198853729636,70.0,0.6011322173087063
00h39m18.4s +03d02m14s,PGC 02362,NGC 0194,UGC 00407      P,,.E.....,13.15,1.19,.06,30,.04,.04,003918.4+030214 N,"NOPA,OFFSET 9.217 arcsec,PANedMedian,PANedMedian,",0.7744083094562406,30.0,0.7062687723113771
00h39m18.8s +00d53m31s,PGC 02365,NGC 0197,UGC 00406      E,HICK 007D,.LB.0P.,14.80M,1.07,.06,5,.16,.05,003918.8+005331 N,"PANedMedian,",0.5874487774697649,22.0,0.4064152580820497
00h39m18.6384s +03d57m10.368s,PGC 02366,,UGC 00402      U,MK 0554,.L.....,,1.11,.10,20,.10,.05,003918.8+035709,"OFFSET 4.603 arcsec,PANedMedian,",0.6441247758465671,50.0,0.5116464961403772
00h39m23s +02d47m52s,PGC 02371,NGC 0198,UGC 00414      R,IRAS00367+0231,.SAR5..,,1.09,.04,80,.02,.04,003923.0+024752 N,"NOPA,OFFSET 10.572 arcsec,PANedMedian,PANedMedian,",0.6151343854061909,35.0,0.5874487774697649
00h39m33.2s +03d08m18s,PGC 02382,NGC 0199,UGC 00415      U,,.LA.0P*,,1.09,.06,160,.23,.03,003933.2+030818 N,"NOPA,OFFSET 3.145 arcsec,PANedMedian,PANedMedian,",0.6151343854061909,162.0,0.3622179800374951
00h39m33.0072s +03d56m00.276s,PGC 02384,,UGC 00416      U,,.SX.8*.,,1.06,.08,10,.10,.06,003933.0+035559,"OFFSET 1.882 arcsec,PANedMedian,",0.5740768107484414,10.0,0.4560054196779549
00h39m34.9s +02d53m14s,PGC 02387,NGC 0200,UGC 00420      R,IRAS00370+0236,.SBS4..,13.48,1.27,.03,161,.28,.03,003934.9+025314 N,"OFFSET 1.781 arcsec,PANedMedian,",0.9310435683314338,148.0,0.4886186104779053
00h39m34.8s +00d51m35s,PGC 02388,NGC 0201,UGC 00419      U,IRAS00370+0035,.SXR5..,13.57M,1.26,.03,155,.10,.04,003934.8+005135 N,"PANedMedian,",0.9098504293049917,150.0,0.7227198853729637
00h39m39.5s +03d26m34s,PGC 02393,NGC 0203,MCG +00-02-114 E,,.L..0P*,,.93,.08,85,.49,.05,003939.5+032634 N,"NOPA,PANedMedian,PANedMedian,",0.4255690191011883,80.0,0.13771143516690834
00h39m39.9s +03d32m10s,PGC 02394,NGC 0202,UGC 00421      E,,.LBS+?.,,.95,.06,153,.49,.04,003939.9+033210 N,"NOPA,PANedMedian,PANedMedian,",0.4456254690668727,151.0,0.14420157515633028
00h39m44.3s +03d17m58s,PGC 02397,NGC 0204,UGC 00423      E,,.LAS0P*,13.8,1.08,.06,30,.02,.05,003944.3+031758 N,"PANedMedian,",0.6011322173087066,20.0,0.5740768107484414
00h40m17.58s +02d45m23.4s,PGC 02420,NGC 0208,MCG +00-02-118 E,,.SAR1?.,,.87,.08,,.03,.05,004017.6+024522 N,"PANedMedian,",0.37065512065045875,150.0,0.3459154854594682
00h40m29.1s +03d15m24.696s,PGC 02435,,UGC 00430      U,,.S..6*.,,1.09,.07,44,.59,.03,004029.1+031523,"OFFSET 8.638 arcsec,PANedMedian,",0.6151343854061909,44.0,0.15811388300841903
00h40m37.8528s -00d19m50.412s,PGC 02440,IC 1571,UGC 00432      U,,.S..3..,,1.06,.06,0,.10,.05,004037.9-001950 I,"PANedMedian,",0.5740768107484414,23.0,0.4560054196779549
00h41m21.6s -01d42m58s,PGC 02472,A 0038-01,UGC 00439      U,,PSBR1P*,13.8,1.05,.05,170,.02,.04,004121.6-014258 A,"PANedMedian,",0.5610092271509818,160.0,0.5357596526188032
00h41m17.2008s +03d30m11.016s,PGC 02473,,UGC 00437      U,,.S..9..,,.96,.09,,.00,.06,004117.4+033013,"OFFSET 1.274 arcsec,NedNoPA,HANDADJ PA Major Minor,",1.0,40.0,0.91
00h42m11.3s +00d54m16s,PGC 02522,NGC 0219,MCG +00-02-128 E,,CE...?.,,.73,.14,60,.03,.05,004211.3+005416 N,"OFFSET 1.880 arcsec,PANedMedian,",0.26851589818512633,166.0,0.2505936168136361
00h42m15.9s +00d50m43s,PGC 02527,NGC 0223,UGC 00450      E,,PSBR0*.,,1.10,.05,62,.17,.05,004215.9+005043 N,"PANedMedian,",0.6294627058970838,62.0,0.4255690191011884
00h42m36.8s -01d31m43s,PGC 02547,NGC 0227,UGC 00456      P,,.L..-P*,13.11,1.21,.05,155,.11,.03,004236.8-013143 N,"NOPA,OFFSET 1.379 arcsec,PANedMedian,PANedMedian,",0.8109050486794649,157.0,0.6294627058970835
00h43m30.2448s +00d00m55.98s,PGC 02591,,,,,16.85,,,,,,004324.4+000100,"OFFSET 4.398 arcsec,NedNoPA,HANDADJ Absent Major Minor,",0.01,0.0,0.01
00h43m27.5s +02d57m29s,PGC 02596,NGC 0236,UGC 00462      U,IRAS00409+0241,.SXS5..,,1.06,.04,160,.06,.04,004327.5+025729 N,"OFFSET 3.008 arcsec,PANedMedian,",0.5740768107484414,55.0,0.5
00h43m27.8424s -00d07m29.748s,PGC 02597,NGC 0237,UGC 00461      R,IRAS00408-0023,.SXT6..,13.7,1.20,.02,175,.24,.02,004327.9-000729 N,"NOPA,OFFSET 2.095 arcsec,PANedMedian,PANedMedian,",0.7924465962305567,3.0,0.4560054196779548
00h43m51.8736s +00d48m07.092s,PGC 02615,,UGC 00466      E,,.SBS1P?,,1.13,.04,165,.29,.04,004352.0+004807,"PANedMedian,",0.6744814412958267,163.0,0.3459154854594682
00h43m56.1312s +01d51m01.044s,PGC 02617,IC 0049,UGC 00468      U,,.SXS5..,14.2,1.18,.04,95,.07,.04,004356.2+015101 I,"PANedMedian,",0.756780624218104,130.0,0.6441247758465669
00h44m37.5s -03d45m33s,PGC 02642,NGC 0239,MCG -01-03-007 E,IRAS00420-0401,PS..2..,,1.00,.07,,.33,.05,004437.5-034533 N,"PANedMedian,",0.5,15.0,0.2338675706435991
00h46m05.4s -01d43m24s,PGC 02691,NGC 0245,UGC 00476      R,MK 0555,.SAT3P$,12.59V,1.14,.04,145,.06,.03,0046 5.4-014324 N,"NOPA,OFFSET 1.442 arcsec,PANedMedian,PANedMedian,",0.6901921323014423,145.0,0.6011322173087063
00h48m03.3s -02d46m31s,PGC 02820,NGC 0259,MCG -01-03-015 P,IRAS00455-0302,.S..4*/,,1.45,.03,140,.66,.04,0048 3.3-024631 N,"NOPA,PANedMedian,PANedMedian,",1.4091914656322269,140.0,0.30829750093074104
00h48m05.0904s -01d33m56.988s,PGC 02822,,UGC 00492      U,ARAK 014,.E+..*/,,1.08,.08,128,.24,.04,004805.2-013358,"PANedMedian,",0.6011322173087066,129.0,0.3459154854594683
00h48m53.2296s -02d22m55.092s,PGC 02861,A 0046-02,E,MK 0557,.I..9*.,15.06,.46,.16,,.08,.06,004853.8-022245 A,"DEC_ADJ,LOGD25,NOPA,NOAXIS,OFFSET 2.191 arcsec,PANedMedian,PANedMedian,",0.14420157515633028,90.0,0.11994164595097451
00h49m25.8792s -01d46m17.112s,PGC 02883,,UGC 00505      E,,.SBT4*.,,1.12,.04,135,.15,.04,004926.1-014616,"OFFSET 2.495 arcsec,PANedMedian,",0.6591283692782037,135.0,0.46662715039849567
00h49m35.7s +01d06m55s,PGC 02889,,UGC 00507      U,IRAS00470+0050,.S..6*/,,1.28,.04,128,.90,.04,004935.7+010655,"OFFSET 1.566 arcsec,PANedMedian,",0.9527303589816236,128.0,0.11994164595097451
00h50m03.5s -03d33m31s,PGC 02918,,MCG -01-03-016 E,,.SXT4..,,1.05,.06,,.10,.05,005003.5-033331,"OFFSET 2.104 arcsec,PANedMedian,",0.5610092271509818,55.0,0.4456254690668728
00h50m41.9s -01d54m37s,PGC 02949,NGC 0271,UGC 00519      U,IRAS00481-0210,PSBT2..,,1.33,.03,130,.10,.04,005041.9-015437 N,"NOPA,OFFSET 2.354 arcsec,PANedMedian,PANedMedian,",1.0689810447511163,65.0,0.8491218262308724
00h51m29.7s -03d08m02.004s,PGC 03012,,MCG -01-03-023,,.SB?...,,1.08,.09,,.42,.07,005129.6-030803,"OFFSET 1.181 arcsec,NedNoPA,HANDADJ Major Minor,",1.1,0.0,0.4
00h51m43.6992s +03d10m18.012s,PGC 03024,,UGC 00526      U,,.S..8*.,,.96,.09,94,.39,.06,005143.8+031019,"NOPA,OFFSET 1.441 arcsec,PANedMedian,PANedMedian,",0.4560054196779548,94.0,0.18576761454858623
00h51m49.9008s +03d06m20.988s,PGC 03031,,UGC 00527      U,,.S..9*.,,.97,.09,15,.17,.06,005149.9+030619,"NOPA,OFFSET 12.300 arcsec,NedNoPA,PANedMedian,",0.4666271503984955,15.0,0.3154786722400966
00h51m59.6208s -00d29m12.156s,PGC 03043,,MCG +00-03-018,ARAK 018,,15.25,.64,.17,,.28,.07,005159.8-002912,"OFFSET 1.644 arcsec,PANedMedian,",0.218257916120083,94.0,0.11454338263838865
